30	You cannot be ____ careful of yourself.	as	too	had	has	B	「cannot + 原形動詞 + too ~」で「いくら〜しても...すぎることはない」という意味がある。	あなたはどれほど体に気をつけても、気をつけ過ぎることはない。	助動詞	600	cannot + 原形動詞 + too ~	いくら〜しても...すぎることはない									
338	____ the matter, he will explain it in the afternoon.	As in	As if	As to	As of	C	as toには、「〜については」という意味がある。	その問題については、彼が午後に説明するだろう。	熟語	600	as if	まるで〜かのように	as to	〜については	as of	〜の時点で、〜現在で					
20	The people ____ in this accident wanted to go home soon.	involves	involve	involved	involving	C	空白部分には「The people」を後ろから修飾できる分詞が入る。文意から「この事件に巻き込まれた人々」となるので、受動態のinvolvedが適切。	この事件に巻き込まれた人々はすぐに家に帰りたがった。	分詞	600	involve	〜を巻き込む									
430	____ speed is important, accuracy is much more important in inventory.	Because	Unless	Although	When	C	「速さが大切」と「正確さはもっと大切」という関係から、逆接の意味をもつalthough(〜だけれども）を選ぶ。	棚卸しをする際、スピードも大切だが、正確さはもっと大切だ。	接続詞	470	although	〜だけれども	inventory	棚卸し							
342	I hear she specializes in putting ____ English training workshops.	in	up	on	of	C	put upやput onにはさまざまな用法があるが、ここではput on「計画して準備する」が適切。	彼女は英語のワークショップの企画を専門にしていると聞いている。	前置詞	600	specialize in ~ing	〜を専門にする	put on	計画して準備する							
420	If ____ I hadn't spent my money, I could buy this new product.	before	really	then	only	D	if only ....で「...でありさえすれば」という意味になり、仮定法で用いる表現である。onlyをつけることで、より残念な気持ちを強調する形になる。	もし私が自分のお金を使いさえしなければ、この新しい商品が買えたのに。	仮定法	600	if only ~	〜でありさえすれば									
420	It was my first time snow boarding, and I didn't think I'd take ____ .	it off	it out	at it	to it	D	take toで「〜に没頭する、習慣になる」という意味があるので、ここでは適切。	スノーボードをしたのはそれが初めてで、夢中になるとは思いもしなかった。	熟語	730	take off	脱ぐ、取り除く	take out	取り出す、連れ出す	take to	〜に没頭する、習慣になる					
76	____ at all times may not be the best way to avoid a problem.	An honest	Will honest	Being honest	Most honest	C	空白以降に主語がないことから、主語になる選択肢を選ぶ。文意から「正直でいること」という主語が適切なので動名詞を使ったBeing honestを選ぶ。	いつも正直でいることは、問題を避けるのに最適な方法ではないかもしれない。	名詞	600	honest	正直な	honesty	正直							
155	I'm afraid that I thought you ____ else.	was someone	was anyone	are anyone	were someone	D	時制の一致の問題。主節の動詞がthoughtなので、that節内の動詞も過去形にする。	申し訳ないのですが、あなたが他の人だと思いました。	時制	470	afraid	怖がって、恐れて									
16	His parents ____ poor all their lives.	was	remained	is	looks	B	主語「His parents」の述語にあたる動詞が空白に入る。名詞が複数形なので、空白にはremainedが適切。	彼の両親は、生涯ずっと貧しかった。	文型	470	remain	残る、存続する									
160	Sally ____ letters to her mother one week ago.	write	writes	wrote	writed	C	時制の問題。one week agoとあるので過去形の動詞を入れる。writeの過去形はwrote。	サリーは一週間前に彼女の母親に手紙を書いた。	動詞の活用	470											
338	____ the end of November 2014, our revenue exceeded $10 million.	As to	As of	As in	As if	B	as ofには、「〜の時点で、〜現在で」という意味がある。	2014年11月現在では、私たちの収益は1000万ドルを超えていた。	熟語	600	as to	〜については	as of	〜の時点で、〜現在で	as if	まるで〜かのように					
80	Would you mind ____ the dishes?	wash	to wash	washing	washed	C	「Would you mind ~ ing」で「〜していただけませんか」という意味。	皿洗いをしていただけませんか。	熟語	600	Would you mind ~ ing	〜していただけませんか									
248	Those firms are ____ contract to share knowledge with each other.	for	in	with	under	D	be under contract (with/to)で「（～と）契約している」ということを表す。前置詞underには「～にしたがって」という意味がある。	それらの会社はお互いに知識を共有する契約を結んでいる。	前置詞	730	be under contract (with/to)	（～と）契約している									
19	She will enter maternity ____ in three weeks.	permission	left	leave	removal	C	「maternity leave」で「産休」という意味。	彼女は3週間後に産休に入る。	語彙	600	maternity leave	産休	permission	許可	removal	除去					
160	He ____ to America three times.	has been	has been going	had going	goes	A	「3度行ったことがある」という経験を表す現在完了形の問題。「have been to ~」で「〜に行ったことがある」という意味。	彼はアメリカに3度行ったことがある。	完了形	600											
84	She found it so difficult ____ this question.	to solve	solve	solved	solving	A	形式目的語itの内容はto不定詞で表される。	彼女はこの問題を解くことがとても難しいとわかった。	動詞の活用	600											
158	If it ____ more sugar in it, this cake would taste better.	have	has	had	have had	C	「もっと砂糖が多かったら」と事実と反する内容のことを言っているので仮定法。仮定法では動詞は過去形になる。	もし、もっと砂糖が入っていたら、このケーキはもっと美味しいだろう。	仮定法	600	taste	味覚、味がする									
49	She likes to go for a walk and her sister ____ , too.	like	did	do	does	D	「to go for a walk」はlikesの目的語。空白にはlikesの繰り返さないために、代動詞のdoesを入れる。	彼女は散歩するのが好きだし、彼女の妹もそうです。	動詞の活用	470	go for a walk	散歩をする									
